fiscal_year,available_from,code,net_income,equity,shares,EPS,BPS,ROE
2020,2021-03-31,000500,9505568262.0,263562215682.0,15600000.0,609.3312988461538,16895.01382576923,0.036065747274901146
2021,2022-03-31,000500,5854428912.0,268115290322.0,15600000.0,375.28390461538464,17186.87758474359,0.02183549063900448
2022,2023-03-31,000500,10463889335.0,303070555819.0,15600000.0,670.7621368589744,19427.59973198718,0.03452624853880312
2023,2024-03-30,000500,17898342263.0,331011443000.0,15600000.0,1147.3296322435897,21218.682243589745,0.05407167226844179
2024,2025-03-31,000500,25355195000.0,453705043000.0,30000000.0,845.1731666666667,15123.501433333333,0.05588475462460311
2025,2026-03-31,000500,51396625000.0,483788805000.0,30000000.0,1713.2208333333333,16126.2935,0.10623773115212949
2019,2020-03-30,086280,502322713669.0,4670280114445.0,200000000.0,2511.613568345,23351.400572225,0.10755729878285776
2020,2021-03-31,086280,606142677103.0,5066368653160.0,200000000.0,3030.713385515,25331.8432658,0.11964046017948894
2021,2022-03-31,086280,783175862240.0,5812412135354.0,200000000.0,3915.8793112,29062.06067677,0.1347419701153558
2022,2023-03-31,086280,1192805576043.0,6879612287958.0,200000000.0,5964.027880215,34398.06143979,0.1733826742141958
2023,2024-03-30,086280,1070090664293.0,7783923620253.0,200000000.0,5350.453321465,38919.618101265,0.1374744558783606
2024,2025-03-31,086280,1099486986046.0,8809364261941.0,200000000.0,5497.43493023,44046.821309705,0.12480889123816818
2025,2026-03-31,086280,1734697253045.0,10388453580786.0,200000000.0,8673.486265225,51942.26790393,0.16698320299119546
2019,2020-03-30,069960,243010565000.0,4979286423000.0,40000000.0,6075.264125,124482.160575,0.04880429530574928
2020,2021-03-31,069960,105056700000.0,5032291555000.0,40000000.0,2626.4175,125807.288875,0.020876512986537404
2021,2022-03-31,069960,233388925000.0,5225628071000.0,40000000.0,5834.723125,130640.701775,0.04466236820320387
2022,2023-03-31,069960,186026376000.0,6367230872000.0,40000000.0,4650.6594,159180.7718,0.02921621341202719
2023,2024-03-30,069960,-39776206000.0,6279127722000.0,40000000.0,-994.40515,156978.19305,-0.0063346706359606675
2024,2025-03-31,069960,-753549000.0,6234443483000.0,40000000.0,-18.838725,155861.087075,-0.0001208686873262654
2025,2026-03-31,069960,141528509000.0,6310743780000.0,40000000.0,3538.212725,157768.5945,0.022426597233836675
2019,2020-03-30,009970,227683258590.0,2575740437731.0,100000000.0,2276.8325859,25757.40437731,0.08839526500992036
2020,2021-03-31,009970,234465776622.0,2617104981012.0,100000000.0,2344.65776622,26171.04981012,0.0895897483376212
2021,2022-03-31,009970,446829434889.0,3155078341794.0,100000000.0,4468.29434889,31550.78341794,0.1416222947525701
2022,2023-03-31,009970,898144561108.0,3986663398394.0,100000000.0,8981.44561108,39866.63398394,0.2252872819585951
2023,2024-03-30,009970,718736627040.0,4579898926543.0,100000000.0,7187.3662704,45798.98926543,0.1569328578136367
2024,2025-03-31,009970,495633035941.0,4987109262473.0,100000000.0,4956.33035941,49871.09262473,0.09938283078546915
2025,2026-03-31,009970,606455450562.0,5286114065986.0,100000000.0,6064.55450562,52861.14065986,0.11472613776238672
2019,2020-03-30,111770,174282786708.0,1968994893706.0,100000000.0,1742.82786708,19689.94893706,0.08851357982953865
2020,2021-03-31,111770,182425908251.0,1993997616352.0,100000000.0,1824.25908251,19939.97616352,0.09148752573974812
2021,2022-03-31,111770,334303486017.0,2434211959092.0,100000000.0,3343.03486017,24342.11959092,0.13733540531191069
2022,2023-03-31,111770,743155039128.0,3114304140479.0,100000000.0,7431.55039128,31143.04140479,0.2386263529848109
2023,2024-03-30,111770,533070681256.0,3587970520506.0,100000000.0,5330.70681256,35879.70520506,0.14857164466914927
2024,2025-03-31,111770,294535556555.0,3895653089851.0,100000000.0,2945.35556555,38956.53089851,0.07560620767858602
2025,2026-03-31,111770,426250682029.0,4105477128835.0,100000000.0,4262.50682029,41054.77128835,0.10382488287054616
2019,2020-03-30,278470,-68802895.0,9396752965.0,75000000.0,-0.9173719333333333,125.29003953333333,-0.00732198614311449
2020,2021-03-31,278470,7891717267.0,51699915148.0,75000000.0,105.22289689333333,689.3322019733333,0.15264468509104098
2021,2022-03-31,278470,11398827028.0,66001080624.0,75000000.0,151.98436037333335,880.01440832,0.17270667268219
2022,2023-03-31,278470,29954676293.0,100257994716.0,75000000.0,399.39568390666665,1336.77326288,0.2987759368003755
2023,2024-03-30,278470,81546050952.0,196948868778.0,75000000.0,1087.28067936,2625.98491704,0.4140468105146539
2024,2025-03-31,278470,107590435967.0,323524073990.0,75000000.0,1434.5391462266666,4313.654319866667,0.33255774335459676
